scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Worst_WestAfrica,Worst_WestAfrica,43,0.424242,151.455,0.315435,0.505032,4.922827,0.684565,0.020537,0.000000,0.283891,0.299663
Worst_WestAfrica,Worst_WestAfrica,44,0.434343,155.061,0.328387,0.513451,4.858066,0.671613,0.020148,0.000000,0.295548,0.311967
Worst_WestAfrica,Worst_WestAfrica,45,0.444444,158.667,0.341606,0.522044,4.791972,0.658394,0.019752,0.000000,0.307445,0.324525
Worst_WestAfrica,Worst_WestAfrica,46,0.454545,162.273,0.355075,0.530799,4.724624,0.644925,0.019348,0.000000,0.319568,0.337321
Worst_WestAfrica,Worst_WestAfrica,47,0.464646,165.879,0.368778,0.539706,4.656108,0.631222,0.018937,0.000000,0.331900,0.350339
Worst_WestAfrica,Worst_WestAfrica,48,0.474747,169.485,0.382697,0.548753,4.586517,0.617303,0.018519,0.000000,0.344427,0.363562
Worst_WestAfrica,Worst_WestAfrica,49,0.484848,173.091,0.396810,0.557926,4.515951,0.603190,0.018096,0.000000,0.357129,0.376969
Worst_WestAfrica,Worst_WestAfrica,50,0.494949,176.697,0.411097,0.567213,4.444515,0.588903,0.017667,0.000000,0.369987,0.390542
Worst_WestAfrica,Worst_WestAfrica,51,0.505051,180.303,0.425536,0.576598,4.372322,0.574464,0.017234,0.000000,0.382982,0.404259
Worst_WestAfrica,Worst_WestAfrica,52,0.515152,183.909,0.440102,0.586067,4.299488,0.559898,0.016797,0.000000,0.396092,0.418097
Worst_WestAfrica,Worst_WestAfrica,53,0.525253,187.515,0.454773,0.595602,4.226135,0.545227,0.016357,0.000000,0.409296,0.432034
Worst_WestAfrica,Worst_WestAfrica,54,0.535354,191.121,0.469523,0.605190,4.152387,0.530477,0.015914,0.000000,0.422570,0.446046
