time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
1,0.0,0.0,0.03671242094656089,0.32386307361526456,6.316437895267196,0.9632875790534391,0.02889862737160317,0.0,0.0330411788519048,0.03487679989923284
2,0.010101010101010102,3.6060606060606064,0.03886973928665488,0.32526533053632567,6.305651303566726,0.9611302607133452,0.028833907821400353,0.0,0.034982765357989394,0.036926252322322134
3,0.020202020202020204,7.212121212121213,0.04114841214625065,0.3267464678950629,6.294257939268746,0.9588515878537494,0.02876554763561248,0.0,0.03703357093162559,0.039090991538938115
4,0.030303030303030304,10.818181818181818,0.04355461488808729,0.32831049967725673,6.282226925559564,0.9564453851119127,0.02869336155335738,0.0,0.03919915339927856,0.04137688414368292
5,0.04040404040404041,14.424242424242426,0.0460947590973264,0.32996159341326214,6.269526204513368,0.9539052409026736,0.028617157227080206,0.0,0.041485283187593765,0.043790021142460084
6,0.050505050505050504,18.03030303030303,0.04877549197661299,0.33170406978479844,6.256122540116935,0.951224508023387,0.02853673524070161,0.0,0.04389794277895169,0.04633671737778234
7,0.06060606060606061,21.636363636363637,0.05160369428513038,0.33354240128533474,6.241981528574348,0.9483963057148697,0.028451889171446088,0.0,0.04644332485661735,0.04902350957087386
8,0.0707070707070707,25.242424242424242,0.05458647663201761,0.3354812098108114,6.227067616839912,0.9454135233679823,0.02836240570103947,0.0,0.049127828968815845,0.05185715280041672
9,0.08080808080808081,28.84848484848485,0.057731173922030934,0.33752526304932007,6.211344130389845,0.942268826077969,0.02826806478233907,0.0,0.051958056529827844,0.054844615225929386
10,0.09090909090909091,32.45454545454545,0.061045337739497336,0.33967946953067324,6.194773311302513,0.9389546622605026,0.02816863986781508,0.0,0.054940803965547604,0.05799307085252247
11,0.10101010101010101,36.06060606060606,0.06453672644577978,0.34194887218975684,6.177316367771101,0.9354632735542202,0.028063898206626605,0.0,0.0580830538012018,0.061309890123490786
12,0.1111111111111111,39.666666666666664,0.06821329275606597,0.34433864029144284,6.15893353621967,0.9317867072439341,0.02795360121731802,0.0,0.061391963480459374,0.06480262811826266
13,0.12121212121212122,43.27272727272727,0.07208316855378026,0.34685405955995713,6.1395841572310985,0.9279168314462197,0.02783750494338659,0.0,0.06487485169840224,0.06847901012609124
14,0.13131313131313133,46.87878787878788,0.07615464669583966,0.34950052035229573,6.119226766520802,0.9238453533041604,0.02771536059912481,0.0,0.0685391820262557,0.07234691436104768
15,0.1414141414141414,50.484848484848484,0.08043615955992967,0.3522835037139543,6.097819202200352,0.9195638404400703,0.02758691521320211,0.0,0.0723925436039367,0.07641435158193317
16,0.15151515151515152,54.09090909090909,0.08493625408662925,0.355208565156309,6.075318729566853,0.9150637459133708,0.027451912377401123,0.0,0.07644262867796632,0.08068944138229778
17,0.16161616161616163,57.6969696969697,0.08966356307528077,0.3582813159989325,6.051682184623596,0.9103364369247192,0.027310093107741577,0.0,0.08069720676775269,0.08518038492151672
18,0.1717171717171717,61.303030303030305,0.09462677250375014,0.3615074021274376,6.0268661374812496,0.9053732274962498,0.027161196824887494,0.0,0.08516409525337512,0.08989543387856262
19,0.18181818181818182,64.9090909090909,0.09983458465945232,0.364892480028644,6.0008270767027385,0.9001654153405477,0.027004962460216428,0.0,0.08985112619350709,0.0948428554264797
20,0.1919191919191919,68.51515151515152,0.10529567689304886,0.3684421899804817,5.9735216155347555,0.8947043231069511,0.026841129693208534,0.0,0.09476610920374398,0.10003089304839641
21,0.20202020202020202,72.12121212121212,0.11101865583787289,0.37216212629461737,5.944906720810636,0.8889813441621272,0.026669440324863812,0.0,0.0999167902540856,0.10546772304597923
22,0.21212121212121213,75.72727272727273,0.11701200697818215,0.3760578045358184,5.914939965109089,0.8829879930218179,0.026489639790654534,0.0,0.10531080628036393,0.11116140662927304
23,0.2222222222222222,79.33333333333333,0.12328403949850168,0.38013462567402606,5.883579802507492,0.8767159605014984,0.026301478815044948,0.0,0.11095563554865151,0.11711983752357659
24,0.23232323232323232,82.93939393939394,0.12984282640520084,0.3843978371633805,5.850785867973996,0.8701571735947992,0.026104715207843975,0.0,0.11685854376468076,0.12335068508494079
25,0.24242424242424243,86.54545454545455,0.13669613998050759,0.3888524909873299,5.816519300097462,0.8633038600194924,0.025899115800584772,0.0,0.12302652598245684,0.1298613329814822
26,0.25252525252525254,90.15151515151516,0.143851382708648,0.3935033987606212,5.78074308645676,0.8561486172913519,0.025684458518740558,0.0,0.1294662444377832,0.1366588135732156
27,0.26262626262626265,93.75757575757576,0.15131551390369125,0.3983550840373993,5.7434224304815436,0.8486844860963088,0.02546053458288926,0.0,0.13618396251332213,0.14374973820850667
28,0.2727272727272727,97.36363636363636,0.15909497236864714,0.4034117320396206,5.7045251381567645,0.8409050276313529,0.025227150828940587,0.0,0.14318547513178242,0.15114022375021477
29,0.2828282828282828,100.96969696969697,0.16719559552468344,0.4086771370910442,5.6640220223765825,0.8328044044753166,0.024984132134259495,0.0,0.1504760359722151,0.15883581574844927
30,0.29292929292929293,104.57575757575758,0.1756225355668468,0.4141546481184504,5.621887322165766,0.8243774644331532,0.024731323932994594,0.0,0.15806028201016212,0.16684140878850445
31,0.30303030303030304,108.18181818181819,0.18438017332673848,0.41984711266237995,5.578099133366307,0.8156198266732615,0.024468594800197845,0.0,0.16594215599406464,0.17516116466040155
32,0.31313131313131315,111.7878787878788,0.193472030651035,0.4257568199231727,5.532639846744825,0.806527969348965,0.024195839080468948,0.0,0.1741248275859315,0.18379842911848324
33,0.32323232323232326,115.3939393939394,0.20290068223482305,0.43188544345263497,5.485496588825885,0.797099317765177,0.023912979532955306,0.0,0.18261061401134074,0.19275564812308188
34,0.3333333333333333,119.0,0.2126676679771519,0.4382339841851487,5.436661660114241,0.7873323320228481,0.023619969960685442,0.0,0.1914009011794367,0.20203428457829428
35,0.3434343434343434,122.60606060606061,0.22277340704916127,0.44480271458195475,5.386132964754194,0.7772265929508387,0.023316797788525162,0.0,0.20049606634424513,0.21163473669670319
36,0.35353535353535354,126.21212121212122,0.23321711497831601,0.45159112473590535,5.33391442510842,0.766782885021684,0.02300348655065052,0.0,0.2098954034804844,0.2215562592294002
37,0.36363636363636365,129.8181818181818,0.24399672515096313,0.458597871348126,5.280016374245184,0.7560032748490368,0.022680098245471104,0.0,0.21959705263586682,0.23179688889341496
38,0.37373737373737376,133.42424242424244,0.2551088162146463,0.4658207305395201,5.224455918926768,0.7448911837853537,0.02234673551356061,0.0,0.2295979345931817,0.242353375403914
39,0.3838383838383838,137.03030303030303,0.2665485469162867,0.4732565554955863,5.1672572654185664,0.7334514530837133,0.022003543592511398,0.0,0.23989369222465803,0.2532211195704724
